ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1
1,5,S,7,37,19766,9.5,126.07,33.971707,-118.123095,0.47,ML,4,GUATEMALA,2023
2,5,N,7,37,19766,9.5,126.133,33.971763,-118.122905,0.505,ML,4,GUATEMALA,2023
3,5,N,7,37,14974,10.33,126.963,33.981839,-118.130679,0.425,ML,4,GREENWOOD,2610
4,5,N,7,37,14974,12.18,128.813,34.002541,-118.150997,0.545,ML,4,GASPAR,2021
5,5,N,7,37,14974,13.35,129.983,34.013676,-118.166091,0.323,ML,4,FERRIS,2537
6,5,S,7,37,14974,13.67,130.24,34.015325,-118.17127,0.495,ML,3,S OF 710,2536
7,5,N,7,37,,R66.1,182.44,34.571045,-118.689102,5,ML,4,TEMPLIN,4618
8,210,E,7,37,30014,R43.3,43.589,34.117595,-117.844142,0.8,HV,1,SUNFLOWER AV,4271
9,10,E,7,37,44000,S.52,16.759,34.055167,-118.216535,0.291,ML,3,ECHANDIA,2092
10,10,E,7,37,44000,18.53,17.03,34.054801,-118.211859,0.125,ML,3,STATE,2484
11,10,E,7,37,44000,18.75,17.25,34.053806,-118.208214,0.25,ML,4,SAINT LOUIS,2485
12,10,E,7,37,44000,19.03,17.53,34.05411,-118.203478,0.28,ML,6,SOTO,2486
13,10,E,7,37,44000,19.66,18.16,34.055306,-118.192689,0.37,ML,6,INDIANA,2093
14,10,W,7,37,44000,19.66,18.16,34.055573,-118.192729,0.37,ML,6,INDIANA,2093
15,10,E,7,37,44000,20.05,18.55,34.055285,-118.185874,0.5,ML,6,HERBERT,2488
16,10,E,7,37,,20.79,19.29,34.059959,-118.174416,0.19,ML,4,EASTERN,2478
17,10,W,7,37,48914,21.25,19.75,34.061442,-118.167268,0.34,ML,4,W OF 710,2319
18,10,E,7,37,48914,21.54,20.04,34.061918,-118.162504,0.38,ML,4,E OF 710,2542
19,10,E,7,37,884,22.01,20.51,34.065882,-118.155495,0.428,ML,5,WARWICK,2094
20,10,W,7,37,884,22.03,20.53,34.066326,-118.155441,0.29,ML,4,WARWICK,2534
21,10,E,7,37,884,22.91,21.41,34.071251,-118.141723,0.446,ML,4,MARENGO,2533
22,10,W,7,37,884,24.31,22.81,34.071889,-118.117349,0.38,ML,4,ALMANSOR,2096
23,10,E,7,37,22230,28.09,26.59,34.071934,-118.051536,0.475,ML,4,BALDWIN,3741
24,210,E,7,37,30014,R43.3,43.589,34.117595,-117.844142,0.8,ML,4,SUNFLOWER AV,4271
25,210,E,7,37,30014,R44.2,44.489,34.120911,-117.829234,0.65,ML,4,LONE HILL AV,4451
26,10,E,7,37,58072,44.68,43.18,34.071766,-117.769758,0.515,ML,4,CLEVELAND,2107
27,10,W,7,37,58072,47.24,45.74,34.081731,-117.72793,0.2,ML,4,MOUNTAIN,2109
28,57,N,7,37,58072,R7.3,19.117,34.059539,-117.804678,0.56,ML,3,CAMPUS,4558
29,60,E,7,37,,R3.08,3.254,34.034994,-118.173285,0.47,ML,4,EASTERN / W OF 710,2367
30,60,E,7,37,,11.57,11.711,34.034891,-118.029411,0.56,ML,4,W OF 605,2361
31,60,E,7,37,,12.1,12.241,34.031123,-118.02136,0.535,ML,6,WORKMAN MILL,2583
32,60,W,7,37,,12.1,12.241,34.03138,-118.02126,0.569,ML,5,WORKMAN MI,2583
33,60,W,7,37,,14.98,15.121,34.012079,-117.980022,0.45,ML,4,W/O TURNBULL,2158
34,60,W,7,37,,18.35,18.491,33.996291,-117.924633,0.25,ML,4,E/O AZUSA 1,2161
35,60,E,7,37,,18.35,18.491,33.996031,-117.924675,0.18,ML,4,E/O AZUSA 1,2161
36,60,E,7,37,36490,R22.3,22.441,33.998463,-117.856533,0.405,ML,4,W OF LEMON,2162
37,91,E,7,37,44000,6.12,0.108,33.872586,-118.289005,0.333,ML,3,VERMONT,2257
